away_team_corner_count,AF,AHCh,AHh,away_team_red_cards,away_team_shots,away_team_shots_on_target,away_team_yellow_cards,Avg<2.5,Avg>2.5,AvgA,AvgAHA,AvgAHH,AvgC<2.5,AvgC>2.5,AvgCA,AvgCAHA,AvgCAHH,AvgCD,AvgCH,AvgD,AvgH,away_team_name,B365<2.5,B365>2.5,B365A,B365AHA,B365AHH,B365C<2.5,B365C>2.5,B365CA,B365CAHA,B365CAHH,B365CD,B365CH,B365D,B365H,BWA,BWCA,BWCD,BWCH,BWD,BWH,Bb1X2,BbAH,BbAHh,BbAv<2.5,BbAv>2.5,BbAvA,BbAvAHA,BbAvAHH,BbAvD,BbAvH,BbMx<2.5,BbMx>2.5,BbMxA,BbMxAHA,BbMxAHH,BbMxD,BbMxH,BbOU,Date,Div,away_team_goal_count,home_team_goal_count,FTR,home_team_corner_count,HF,home_team_red_cards,home_team_shots,home_team_shots_on_target,HTAG,HTHG,HTR,home_team_yellow_cards,home_team_name,IWA,IWCA,IWCD,IWCH,IWD,IWH,LBA,LBD,LBH,Max<2.5,Max>2.5,MaxA,MaxAHA,MaxAHH,MaxC<2.5,MaxC>2.5,MaxCA,MaxCAHA,MaxCAHH,MaxCD,MaxCH,MaxD,MaxH,P<2.5,P>2.5,PAHA,PAHH,PC<2.5,PC>2.5,PCAHA,PCAHH,odds_ft_away_team_win,PSCA,PSCD,PSCH,PSD,odds_ft_home_team_win,Referee,Time,VCA,VCCA,VCCD,VCCH,VCD,VCH,WHA,WHCA,WHCD,WHCH,WHD,WHH,league,league2,season,odds_ft_home_team_win2,PSD2,odds_ft_away_team_win2,event_date,homeTeam.team_name,awayTeam.team_name,home_per_full_squad,away_per_full_squad,home_per_full_squad_k,away_per_full_squad_k
3,13,,,0,7,3,4,,,,,,,,,,,,,,,Aston Villa,,,4.0,,,,,,,,,,3.6,2.0,3.7,,,,3.3,2.0,45.0,26.0,-0.5,1.79,2.02,3.98,1.92,1.93,3.48,1.96,1.88,2.11,4.33,1.99,1.98,3.65,2.1,43.0,2015-08-08,E0,1,0,A,6,13,0,11,2,0,0,D,3,Bournemouth,3.3,,,,3.3,2.1,4.0,3.3,2.05,,,,,,,,,,,,,,,,,,,,,,,4.27,4.7,3.88,1.82,3.65,1.95,M Clattenburg,,4.2,,,,3.5,2.0,4.0,,,,3.5,1.91,En,England15,15,2.1,3.65,4.27,2015-08-08,Bournemouth,Aston Villa,1.0,1.0,1.0,1.0
8,16,,,0,18,10,3,,,,,,,,,,,,,,,Swansea,,,11.0,,,,,,,,,,5.0,1.36,9.0,,,,4.75,1.4,45.0,27.0,-1.5,1.99,1.8,9.57,1.73,2.16,4.66,1.37,2.07,1.88,11.26,1.8,2.24,5.0,1.43,43.0,2015-08-08,E0,2,2,D,4,15,1,11,3,1,2,H,1,Chelsea,8.3,,,,4.8,1.33,10.0,4.5,1.4,,,,,,,,,,,,,,,,,,,,,,,10.39,10.88,5.04,1.37,4.92,1.39,M Oliver,,9.5,,,,5.0,1.4,10.0,,,,4.0,1.4,En,England15,15,1.4,5.0,11.0,2015-08-08,Chelsea,Swansea,1.0,1.0,1.0,1.0
2,13,,,0,11,5,2,,,,,,,,,,,,,,,Watford,,,5.5,,,,,,,,,,3.9,1.7,5.0,,,,3.5,1.7,45.0,26.0,-1.0,1.96,1.84,5.25,1.71,2.18,3.76,1.69,2.03,1.93,5.77,1.76,2.28,4.0,1.75,44.0,2015-08-08,E0,2,2,D,8,7,0,10,5,1,0,A,1,Everton,4.7,,,,3.6,1.7,5.0,3.8,1.75,,,,,,,,,,,,,,,,,,,,,,,5.62,5.44,3.76,1.75,3.95,1.7,M Jones,,5.4,,,,3.9,1.73,5.0,,,,3.5,1.73,En,England15,15,1.73,3.95,5.62,2015-08-08,Everton,Watford,1.0,1.0,1.0,1.0
3,17,,,0,10,5,4,,,,,,,,,,,,,,,Sunderland,,,4.33,,,,,,,,,,3.5,1.95,3.75,,,,3.3,2.0,45.0,26.0,-0.5,1.67,2.18,4.06,1.9,1.95,3.37,1.96,1.73,2.27,4.52,1.96,2.0,3.5,2.03,43.0,2015-08-08,E0,2,4,H,6,13,0,19,8,0,3,H,2,Leicester,3.6,,,,3.3,2.0,4.2,3.4,2.0,,,,,,,,,,,,,,,,,,,,,,,4.34,5.1,3.74,1.79,3.48,1.99,L Mason,,4.33,,,,3.4,2.0,2.7,,,,3.1,2.0,En,England15,15,2.0,3.5,4.34,2015-08-08,Leicester,Sunderland,1.0,1.0,1.0,1.0
2,12,,,0,9,4,3,,,,,,,,,,,,,,,Tottenham,,,6.0,,,,,,,,,,4.0,1.65,5.5,,,,4.0,1.65,42.0,26.0,-1.0,2.01,1.79,5.65,1.78,2.09,3.9,1.63,2.13,1.86,6.5,1.82,2.2,4.2,1.71,40.0,2015-08-08,E0,0,1,H,1,12,0,9,1,0,1,H,2,Man United,5.1,,,,3.6,1.65,5.5,4.0,1.67,,,,,,,,,,,,,,,,,,,,,,,5.9,6.04,4.07,1.64,4.09,1.65,J Moss,,5.75,,,,4.0,1.67,6.0,,,,3.6,1.62,En,England15,15,1.67,4.09,6.0,2015-08-08,Man United,Tottenham,1.0,1.0,1.0,1.0
4,20,,,0,11,7,0,,,,,,,,,,,,,,,Crystal Palace,,,3.0,,,,,,,,,,3.3,2.55,2.7,,,,3.2,2.6,45.0,27.0,0.0,1.67,2.18,2.92,2.08,1.78,3.21,2.53,1.75,2.25,3.11,2.17,1.83,3.42,2.63,43.0,2015-08-08,E0,3,1,A,1,14,0,17,6,1,0,A,1,Norwich,2.85,,,,3.2,2.4,2.9,3.2,2.62,,,,,,,,,,,,,,,,,,,,,,,3.08,3.14,3.39,2.46,3.35,2.52,S Hooper,,3.0,,,,3.25,2.6,2.88,,,,3.1,2.6,En,England15,15,2.6,3.35,3.08,2015-08-08,Norwich,Crystal Palace,1.0,1.0,1.0,1.0
4,9,,,0,8,4,3,,,,,,,,,,,,,,,West Ham,,,12.0,,,,,,,,,,6.0,1.29,10.5,,,,5.75,1.28,45.0,27.0,-1.5,2.22,1.64,10.75,1.96,1.89,5.53,1.29,2.3,1.71,12.0,2.06,1.96,6.16,1.33,39.0,2015-08-09,E0,2,0,A,5,12,0,22,6,1,0,A,1,Arsenal,8.3,,,,4.8,1.33,12.0,5.5,1.29,,,,,,,,,,,,,,,,,,,,,,,12.0,15.0,6.75,1.24,5.75,1.31,M Atkinson,,12.0,,,,5.75,1.3,11.0,,,,5.0,1.3,En,England15,15,1.33,6.0,12.0,2015-08-09,Arsenal,West Ham,1.0,1.0,1.0,1.0
6,12,,,0,15,5,4,,,,,,,,,,,,,,,Southampton,,,2.7,,,,,,,,,,3.3,2.88,2.75,,,,3.1,2.8,45.0,27.0,0.0,1.7,2.14,2.63,1.87,1.98,3.23,2.79,1.8,2.23,2.76,1.92,2.06,3.47,2.88,43.0,2015-08-09,E0,2,2,D,6,9,0,9,4,1,1,D,2,Newcastle,2.5,,,,3.3,2.65,2.6,3.3,2.88,,,,,,,,,,,,,,,,,,,,,,,2.69,2.55,3.28,3.09,3.33,2.88,C Pawson,,2.7,,,,3.25,2.88,2.7,,,,3.1,2.7,En,England15,15,2.88,3.33,2.7,2015-08-09,Newcastle,Southampton,1.0,1.0,1.0,1.0
5,16,,,0,8,3,4,,,,,,,,,,,,,,,Liverpool,,,2.3,,,,,,,,,,3.4,3.4,2.3,,,,3.4,3.2,45.0,26.0,0.25,1.75,2.06,2.24,1.91,1.95,3.33,3.33,1.82,2.15,2.35,1.96,2.0,3.51,3.51,43.0,2015-08-09,E0,1,0,A,3,9,0,7,1,0,0,D,2,Stoke,2.3,,,,3.3,2.9,2.3,3.3,3.4,,,,,,,,,,,,,,,,,,,,,,,2.25,2.09,3.51,3.89,3.46,3.48,A Taylor,,2.3,,,,3.4,3.4,2.3,,,,3.1,3.3,En,England15,15,3.48,3.46,2.3,2015-08-09,Stoke,Liverpool,1.0,1.0,1.0,1.0
6,9,,,0,19,7,1,,,,,,,,,,,,,,,Man City,,,1.67,,,,,,,,,,4.0,5.75,1.65,,,,4.0,4.75,41.0,26.0,1.0,2.04,1.77,1.66,2.14,1.74,3.85,5.46,2.15,1.84,1.72,2.24,1.78,4.1,6.5,40.0,2015-08-10,E0,3,0,A,6,12,0,9,2,2,0,A,4,West Brom,1.65,,,,3.6,5.1,1.67,3.75,5.5,,,,,,,,,,,,,,,,,,,,,,,1.68,1.61,4.08,6.46,3.98,5.75,M Dean,,1.7,,,,4.0,5.5,1.7,,,,3.5,5.5,En,England15,15,5.75,4.0,1.7,2015-08-10,West Brom,Man City,1.0,1.0,1.0,1.0
